"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.852445667E0,3.511408567E-1,1.040272832E0,5.964208860E-3
1.862439667E0,3.125383556E-1,1.137024403E0,2.639507353E-1
1.872434667E0,2.698183954E-1,1.200402856E0,4.670435190E-1
1.882429667E0,2.214465886E-1,1.234206557E0,6.154766679E-1
1.892424667E0,1.822242588E-1,1.253799677E0,7.256579995E-1
1.902419667E0,1.459125876E-1,1.249855757E0,7.850118279E-1
1.912414667E0,1.292627603E-1,1.214980602E0,7.935717702E-1
1.922409667E0,1.432691664E-1,1.148771644E0,7.791317701E-1
1.932404667E0,1.737811714E-1,1.062363982E0,7.433009744E-1
1.942399667E0,2.268960625E-1,9.643276334E-1,6.953054667E-1
1.952394667E0,3.022273481E-1,8.542432785E-1,6.365892887E-1
1.962389667E0,3.848561943E-1,7.526010871E-1,5.677561760E-1
1.972383667E0,4.586388469E-1,6.763808727E-1,4.950944185E-1
1.982378667E0,5.233672261E-1,6.432819963E-1,4.093238711E-1
1.992373667E0,5.722228885E-1,6.486388445E-1,3.129036427E-1
2.002368667E0,6.080467105E-1,6.849763393E-1,2.044013888E-1
2.012363667E0,6.277653575E-1,7.365240455E-1,8.517207950E-2
2.022358667E0,6.241804361E-1,8.006071448E-1,-3.077130020E-2
2.032353667E0,6.089890003E-1,8.639326692E-1,-1.613940448E-1
2.042349458E0,5.851976275E-1,9.259257317E-1,-2.820632160E-1
2.052344458E0,5.523485541E-1,9.853999019E-1,-3.922617435E-1
2.062339458E0,5.114615560E-1,1.043287158E0,-4.760946035E-1
2.072333458E0,4.763600528E-1,1.107013106E0,-5.245751143E-1
2.082328458E0,4.452444911E-1,1.162220240E0,-5.389124751E-1
2.092323458E0,4.067122936E-1,1.203447700E0,-5.253586173E-1
2.102318458E0,3.774550557E-1,1.217463017E0,-5.021249056E-1
2.112313458E0,3.504409790E-1,1.215369463E0,-4.806222320E-1
2.122308458E0,3.254176676E-1,1.191650510E0,-4.557533860E-1
2.132303458E0,2.962611318E-1,1.153027654E0,-4.253422320E-1
2.142298458E0,2.700393796E-1,1.103086948E0,-4.018952549E-1
2.152293458E0,2.467603981E-1,1.049134612E0,-3.901573420E-1
2.162288458E0,2.234558761E-1,9.978851080E-1,-3.755000830E-1
2.172283458E0,1.976913810E-1,9.551819563E-1,-3.574661911E-1
2.182277458E0,1.772444248E-1,9.184234142E-1,-3.413327634E-1
2.192272458E0,1.546634734E-1,8.853626251E-1,-3.409444690E-1
2.202267458E0,1.337656528E-1,8.492954373E-1,-3.464843929E-1
2.212262458E0,1.135112271E-1,8.037123680E-1,-3.553132415E-1
2.222257458E0,1.058394611E-1,7.541394830E-1,-3.652255237E-1
2.232252458E0,1.078041941E-1,7.079032063E-1,-3.701368570E-1
2.242247458E0,1.092188656E-1,6.629894972E-1,-3.701946437E-1
2.252242458E0,1.235676110E-1,6.291700006E-1,-3.726688623E-1
2.262237458E0,1.383135319E-1,6.007834077E-1,-3.816713989E-1
2.272232458E0,1.510218829E-1,5.733307600E-1,-3.946726918E-1
2.282227458E0,1.599719673E-1,5.503032207E-1,-4.116386175E-1
2.292221458E0,1.607453525E-1,5.481846929E-1,-4.325532317E-1
2.302216458E0,1.603296399E-1,5.701861382E-1,-4.487367272E-1
2.312211458E0,1.556430459E-1,6.051470041E-1,-4.614827037E-1
2.322206458E0,1.463411599E-1,6.491243243E-1,-4.613266289E-1
2.332201458E0,1.405171007E-1,6.810574532E-1,-4.507043660E-1
2.342196458E0,1.229221150E-1,6.901439428E-1,-4.329743683E-1
2.352191458E0,1.045532525E-1,6.661002040E-1,-4.132198691E-1
2.362186458E0,8.501869440E-2,6.140889525E-1,-3.933087289E-1
2.372181458E0,6.195835769E-2,5.310562253E-1,-3.707333207E-1
2.382176458E0,3.761866316E-2,4.125516713E-1,-3.366104960E-1
2.392171458E0,1.859913953E-2,2.705791891E-1,-2.990338206E-1
2.402165458E0,-4.603056586E-4,1.169459596E-1,-2.576674521E-1
2.412160458E0,-1.433161274E-2,-2.976793051E-2,-2.126648724E-1
2.422155458E0,-1.567677595E-2,-1.578443944E-1,-1.649980247E-1
2.432150458E0,-1.266689878E-2,-2.668024600E-1,-1.162655950E-1
2.442145458E0,-7.711022627E-3,-3.517892659E-1,-7.148534060E-2
2.452140458E0,-7.792585529E-5,-4.101023972E-1,-3.041769564E-2
2.462135458E0,4.824687261E-3,-4.563998580E-1,7.355514914E-3
2.472130458E0,1.495035924E-2,-4.858130515E-1,4.843252525E-2
2.482125458E0,1.810940169E-2,-5.050674677E-1,9.399467707E-2
2.492120458E0,3.506712243E-2,-5.267352462E-1,1.465203911E-1
2.502114458E0,5.820120499E-2,-5.591562986E-1,1.962219030E-1
2.512109458E0,9.521935135E-2,-6.019445658E-1,2.432481200E-1
2.522104458E0,1.559476703E-1,-6.567231417E-1,2.850791812E-1
2.532099458E0,2.327452898E-1,-6.985592246E-1,3.103578389E-1
2.542094458E0,3.051182926E-1,-7.340077758E-1,3.269717097E-1
2.552089458E0,3.372154534E-1,-7.693700790E-1,3.326051533E-1
2.562084458E0,3.422482908E-1,-7.933079004E-1,3.223056495E-1
2.572079458E0,3.316339552E-1,-8.017642498E-1,3.149466515E-1
2.582074458E0,2.884207070E-1,-8.112440109E-1,3.126675189E-1
2.592069458E0,2.165641487E-1,-8.161101341E-1,3.265086412E-1
2.602064458E0,1.343856603E-1,-8.288464546E-1,3.661260903E-1
2.612058458E0,6.239135563E-2,-8.488798141E-1,4.223656952E-1
2.622053458E0,5.394914653E-3,-9.020698071E-1,4.678751230E-1
2.632048458E0,-4.962568730E-2,-9.799672961E-1,5.196016431E-1
2.642043458E0,-9.775406867E-2,-1.064560533E0,6.059091091E-1
2.652038458E0,-1.450063437E-1,-1.124682546E0,7.378984094E-1
2.662033458E0,-1.979965866E-1,-1.138688326E0,9.107612371E-1
2.672028458E0,-2.521072030E-1,-1.097666264E0,1.103057384E0
2.682023458E0,-3.316600621E-1,-9.758984447E-1,1.292453408E0
2.692018458E0,-4.017581940E-1,-8.021394610E-1,1.460858941E0
2.702013458E0,-4.528906345E-1,-5.838662386E-1,1.585922360E0
2.712008458E0,-4.922093153E-1,-3.529245853E-1,1.681010365E0
2.722002458E0,-5.232380629E-1,-1.456204057E-1,1.750081778E0
2.731997458E0,-5.555051565E-1,1.608604752E-2,1.802157521E0
2.741992458E0,-5.867557526E-1,1.265105605E-1,1.835733891E0
2.751987458E0,-6.009972095E-1,1.643609256E-1,1.852844238E0
2.761982458E0,-5.940927267E-1,1.393815428E-1,1.858775258E0
2.771977458E0,-5.639798045E-1,5.700910464E-2,1.849682450E0
2.781972458E0,-5.143611431E-1,-7.767121494E-2,1.806905985E0
2.791967458E0,-4.570422471E-1,-2.434769273E-1,1.721585512E0
2.801962458E0,-3.922483623E-1,-4.034948051E-1,1.604964375E0
2.811957458E0,-3.350335062E-1,-5.201584101E-1,1.461425662E0
2.821951458E0,-2.956093848E-1,-5.562986135E-1,1.302369714E0
2.831946458E0,-2.695165873E-1,-5.233393908E-1,1.127523899E0
2.841941458E0,-2.568559051E-1,-4.278165698E-1,9.454129934E-1
2.851936458E0,-2.569719553E-1,-2.985104620E-1,7.443119884E-1
2.861931458E0,-2.652701139E-1,-1.539500654E-1,5.324513912E-1
2.871926458E0,-2.796186507E-1,-1.481785439E-2,3.163014352E-1
2.881921458E0,-3.028611243E-1,1.099493802E-1,9.350457788E-2
2.891916458E0,-3.312888145E-1,2.121660411E-1,-1.325990409E-1
2.901911458E0,-3.701533675E-1,2.915303707E-1,-3.613968194E-1
2.911906458E0,-4.100605845E-1,3.425408602E-1,-5.961976051E-1
2.921901458E0,-4.411026537E-1,3.577286005E-1,-8.334866166E-1
2.931895458E0,-4.548076391E-1,3.313622177E-1,-1.064102292E0
2.941890458E0,-4.579219222E-1,2.872541547E-1,-1.272546887E0
2.951885458E0,-4.487582147E-1,2.385999858E-1,-1.436410785E0
2.961880458E0,-4.257000089E-1,2.001170367E-1,-1.558988333E0
2.971875458E0,-3.980942369E-1,1.593501419E-1,-1.647731543E0
2.981870458E0,-3.780137300E-1,1.238968074E-1,-1.703169703E0
2.991865458E0,-3.621937931E-1,1.060462222E-1,-1.713597655E0
3.001860458E0,-3.482337594E-1,1.191966459E-1,-1.674313903E0
3.011855458E0,-3.314218819E-1,1.639808714E-1,-1.601980805E0
