"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.548015923E0,4.821922302E0,-7.924807668E-1,8.501810074E0
2.550015923E0,4.795586109E0,-7.924807668E-1,8.561665535E0
2.552015923E0,4.764461517E0,-7.972691655E-1,8.590395927E0
2.554015923E0,4.750096321E0,-8.068459630E-1,8.592789650E0
2.556015923E0,4.699818134E0,-8.164227605E-1,8.592789650E0
2.558015923E0,4.699818134E0,-8.164227605E-1,8.592789650E0
2.560015923E0,4.678270340E0,-8.188169599E-1,8.571242332E0
2.562015923E0,4.697423935E0,-8.116343617E-1,8.566453934E0
2.564015923E0,4.718971729E0,-8.283938169E-1,8.556877136E0
2.566015923E0,4.735731125E0,-8.571242094E-1,8.528146744E0
2.568015923E0,4.754884720E0,-8.643068075E-1,8.489839554E0
2.570015923E0,4.764461517E0,-8.619126081E-1,8.482656479E0
2.572015923E0,4.788403511E0,-8.643068075E-1,8.518569946E0
2.574015923E0,4.778826714E0,-8.595184088E-1,8.561665535E0
2.576015923E0,4.764461517E0,-8.643068075E-1,8.573636055E0
2.578015923E0,4.740519524E0,-8.762778044E-1,8.571242332E0
2.580015923E0,4.721365929E0,-8.858546019E-1,8.583212852E0
2.582015923E0,4.704606533E0,-8.906430602E-1,8.599972725E0
2.584015923E0,4.687847137E0,-8.786720037E-1,8.640673637E0
2.586015923E0,4.642356873E0,-8.906430602E-1,8.638279915E0
2.588015923E0,4.625597477E0,-8.834604025E-1,8.619126320E0
2.590015923E0,4.618414879E0,-9.050082564E-1,8.568847656E0
2.592015923E0,4.616020679E0,-9.265560508E-1,8.549694061E0
2.594015923E0,4.606443882E0,-9.361328483E-1,8.554482460E0
2.596015923E0,4.589684486E0,-9.433154464E-1,8.568847656E0
2.598015923E0,4.577713490E0,-9.576807022E-1,8.578424454E0
2.600015923E0,4.577713490E0,-9.576807022E-1,8.578424454E0
2.602015923E0,4.570530891E0,-9.576807022E-1,8.573636055E0
2.604015923E0,4.560954094E0,-9.576807022E-1,8.568847656E0
2.606015923E0,4.551377296E0,-9.720458984E-1,8.556877136E0
2.608015923E0,4.551377296E0,-9.648633003E-1,8.554482460E0
2.610015923E0,4.548983097E0,-9.672574997E-1,8.547300339E0
2.612015923E0,4.572925091E0,-9.696516991E-1,8.525752068E0
2.614015923E0,4.604049683E0,-9.864110947E-1,8.525752068E0
2.616015923E0,4.616020679E0,-9.911994934E-1,8.525752068E0
2.618015923E0,4.632780075E0,-9.864110947E-1,8.528146744E0
2.620015923E0,4.632780075E0,-1.019929886E0,8.494627953E0
2.622015923E0,4.637568474E0,-1.022324085E0,8.485051155E0
2.624015923E0,4.642356873E0,-1.015141487E0,8.494627953E0
2.626015923E0,4.627991676E0,-1.027112484E0,8.497021675E0
2.628015923E0,4.604049683E0,-1.039083481E0,8.494627953E0
2.630015923E0,4.596867085E0,-1.034295082E0,8.506598473E0
2.632015923E0,4.584896088E0,-1.039083481E0,8.508993149E0
2.634015923E0,4.551377296E0,-1.019929886E0,8.501810074E0
2.636015923E0,4.541800499E0,-1.027112484E0,8.482656479E0
2.638015923E0,4.537012100E0,-1.031900883E0,8.473079681E0
2.640015923E0,4.548983097E0,-1.022324085E0,8.451532364E0
2.642015923E0,4.584896088E0,-1.029506683E0,8.465897560E0
2.644015923E0,4.592078686E0,-1.019929886E0,8.465897560E0
2.646015923E0,4.611232281E0,-1.015141487E0,8.468291283E0
2.648015923E0,4.630385876E0,-1.000776291E0,8.470685959E0
2.650015923E0,4.637568474E0,-9.983820915E-1,8.473079681E0
