"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.948595833E-1,2.558881976E-2,1.383295003E-2,-2.351574972E-2
1.004798583E0,2.639815398E-2,5.256506614E-3,-2.138548717E-2
1.014737583E0,2.498442121E-2,-1.054737065E-2,-1.921098307E-2
1.024676583E0,2.565260790E-2,-9.914603084E-3,-2.129810303E-2
1.034614583E0,2.647456154E-2,-7.323416416E-3,-2.122369781E-2
1.044553583E0,2.748150378E-2,5.203923211E-4,-1.900368929E-2
1.054492583E0,2.529055811E-2,5.205613561E-3,-1.305239182E-2
1.064431583E0,2.543650009E-2,5.985920317E-3,-7.876805030E-3
1.074370583E0,2.282061428E-2,4.263507202E-3,-6.520423107E-3
1.084308583E0,1.976836473E-2,1.763543114E-4,-1.019292232E-2
1.094247583E0,1.973260380E-2,-5.644770339E-3,-1.263847109E-2
1.104186583E0,1.730886102E-2,-1.687478833E-2,-1.464649383E-2
1.114125583E0,1.291781478E-2,-2.254566923E-2,-1.850900985E-2
1.124064583E0,9.315091185E-3,-3.061478212E-2,-2.327686548E-2
1.134002583E0,7.072709501E-3,-4.420542717E-2,-2.357221022E-2
1.143941583E0,8.984060027E-3,-5.314938724E-2,-2.603483573E-2
1.153880583E0,7.064567413E-3,-5.624034256E-2,-2.449376322E-2
1.163819583E0,8.851815015E-3,-5.700600147E-2,-2.123485319E-2
1.173758583E0,1.155726984E-2,-4.885396361E-2,-2.057811618E-2
1.183697583E0,1.155380905E-2,-3.712699935E-2,-1.812534593E-2
1.193635583E0,1.046783663E-2,-2.350864932E-2,-1.562739536E-2
1.203574583E0,1.116265543E-2,-1.393804699E-2,-1.513151452E-2
1.213513583E0,1.032988448E-2,-7.586141583E-3,-1.777550019E-2
1.223452583E0,1.301754639E-2,-5.728320219E-3,-2.378013171E-2
1.233391583E0,1.281546243E-2,-1.431764849E-2,-2.336042002E-2
1.243329583E0,1.428978797E-2,-1.949270442E-2,-2.540892363E-2
1.253268583E0,1.364844665E-2,-2.910275757E-2,-2.148725837E-2
1.263207583E0,1.257252973E-2,-3.496970236E-2,-1.881796867E-2
1.273146583E0,1.399346814E-2,-3.105938807E-2,-1.635333896E-2
1.283085583E0,1.530480944E-2,-2.399349026E-2,-1.069944911E-2
1.293023583E0,1.330105681E-2,-1.482226327E-2,-1.578959078E-2
1.302962583E0,4.272674676E-3,-1.796742901E-3,-9.335952811E-3
1.312901583E0,2.600120613E-3,1.642198116E-2,-3.524434753E-3
1.322840583E0,1.048563048E-3,1.528640930E-2,-8.730115369E-3
1.332779583E0,4.325011745E-3,9.537258185E-3,-1.629342511E-2
1.342717583E0,4.852051381E-3,-5.464907736E-5,-1.405610424E-2
1.352656583E0,7.276644465E-3,-1.588032581E-2,-1.798400283E-2
1.362595583E0,8.805831894E-3,-2.478859946E-2,-1.922237128E-2
1.372534583E0,1.012322027E-2,-3.130891919E-2,-1.987364516E-2
1.382473583E0,1.045158878E-2,-2.826972306E-2,-1.648557186E-2
1.392412583E0,1.012057066E-2,-1.829807460E-2,-1.201166306E-2
1.402350583E0,6.932500284E-3,-7.788442541E-3,-1.119593624E-2
1.412289583E0,4.105507396E-3,-6.871470250E-4,-9.944671765E-3
1.422228583E0,7.213150151E-3,2.796799876E-3,-1.057743840E-2
1.432167583E0,5.017661490E-3,-3.758226987E-3,-1.270528138E-2
1.442106583E0,6.211556960E-3,-5.722574890E-3,-1.692719199E-2
1.452044583E0,6.690408569E-3,-1.367252972E-2,-1.722129807E-2
1.461983583E0,7.874716073E-3,-1.539213303E-2,-1.757070422E-2
1.471922583E0,7.905581035E-3,-1.154847816E-2,-2.014861628E-2
1.481861583E0,6.619274151E-3,-9.934869595E-3,-1.350376289E-2
1.491800583E0,4.323838279E-3,-8.456820622E-3,-9.913240559E-3
1.501739583E0,5.446094554E-3,-3.243416548E-3,-1.324245799E-2
1.511677583E0,3.319503507E-3,-7.444987074E-3,-1.431592833E-2
1.521616583E0,7.764319424E-3,-5.614063703E-3,-1.284932625E-2
1.531555583E0,3.652715823E-3,-7.314066868E-3,-1.136594545E-2
1.541494583E0,8.565449156E-3,-5.648259539E-3,-1.336997468E-2
1.551433583E0,7.558228914E-3,-5.496107042E-4,-8.929752745E-3
1.561371583E0,1.988227479E-3,-2.071280032E-4,-3.160812892E-3
1.571310583E0,6.884094793E-3,1.972854137E-3,-3.377259709E-3
1.581249583E0,6.200461183E-3,-5.081859417E-3,-9.675635956E-3
1.591188583E0,6.554395426E-3,-7.650625426E-3,-9.473337792E-3
1.601127583E0,8.957365528E-3,-8.140646853E-3,-6.176876836E-3
1.611065583E0,4.850303754E-3,-7.633424830E-3,-5.908954889E-3
1.621004583E0,6.214907393E-3,-9.419340640E-3,-5.885519087E-3
1.630943583E0,2.296307590E-3,5.383882672E-5,-1.448824070E-3
1.640882583E0,4.492084030E-3,1.052858401E-2,2.519818954E-3
