"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.696598625E0,8.506810665E-2,-2.981358171E-1,-3.113019764E-1
1.706592625E0,6.763156503E-2,-3.196343184E-1,-3.078896403E-1
1.716587625E0,6.058457494E-2,-3.344098032E-1,-3.029287159E-1
1.726582625E0,6.467010081E-2,-3.317896724E-1,-2.870402634E-1
1.736577625E0,7.016099989E-2,-2.975275815E-1,-2.631756663E-1
1.746572625E0,7.784225792E-2,-2.331039011E-1,-2.238106281E-1
1.756567625E0,7.783985883E-2,-1.532146484E-1,-1.729871333E-1
1.766561625E0,7.255262136E-2,-5.077564716E-2,-1.097340435E-1
1.776556625E0,5.554594100E-2,5.255633220E-2,-4.305195063E-2
1.786551625E0,3.178551793E-2,1.556615531E-1,1.670214906E-2
1.796546625E0,3.598086070E-3,2.585391998E-1,5.367667601E-2
1.806541625E0,-2.661821432E-2,3.558694124E-1,7.467074692E-2
1.816536625E0,-6.306011230E-2,4.523133934E-1,8.337289095E-2
1.826531625E0,-6.713345647E-2,5.297850966E-1,9.962595999E-2
1.836525625E0,-6.915186346E-2,5.750894547E-1,1.529272497E-1
1.846520625E0,-5.376561359E-2,5.662599802E-1,2.123691291E-1
1.856515625E0,-2.595235780E-2,4.991488159E-1,2.621052861E-1
1.866510625E0,1.487648115E-3,3.867952824E-1,2.877232134E-1
1.876505625E0,2.739993855E-2,2.545658648E-1,2.941094935E-1
1.886500625E0,5.289400369E-2,1.029275358E-1,2.909214497E-1
1.896494625E0,6.655894965E-2,-3.101508692E-2,2.713504136E-1
1.906489625E0,7.360509038E-2,-1.285570264E-1,2.484185249E-1
1.916484625E0,6.666515768E-2,-1.717079580E-1,2.179895043E-1
1.926479625E0,4.522670433E-2,-1.737551987E-1,1.735973060E-1
1.936474625E0,2.401741454E-3,-1.477771401E-1,1.269709468E-1
1.946469792E0,-5.334223807E-2,-1.244929582E-1,7.086589187E-2
1.956463792E0,-1.057844087E-1,-1.052920967E-1,2.627738565E-2
1.966458792E0,-1.453469843E-1,-1.031641960E-1,-1.411692053E-2
1.976453792E0,-1.727378666E-1,-1.083237976E-1,-4.532224312E-2
1.986448792E0,-1.931332350E-1,-1.191773340E-1,-7.449013740E-2
1.996443792E0,-2.019794583E-1,-1.341983527E-1,-1.069913581E-1
2.006438792E0,-1.906739324E-1,-1.239869073E-1,-1.297432035E-1
2.016432792E0,-1.515957713E-1,-8.591329306E-2,-1.239122152E-1
2.026427792E0,-1.007052958E-1,-1.184904389E-2,-9.339271486E-2
2.036422792E0,-4.409661517E-2,8.406523615E-2,-5.521550030E-2
2.046417792E0,9.788491763E-3,1.811589301E-1,-1.859549060E-2
2.056412792E0,5.611950532E-2,2.513590753E-1,-2.226098441E-4
2.066407792E0,9.518417716E-2,2.803125679E-1,1.179131214E-2
2.076401792E0,1.282877922E-1,2.663208544E-1,2.883953601E-2
2.086396792E0,1.437916160E-1,2.141898721E-1,4.158493504E-2
2.096391792E0,1.366250515E-1,1.409705132E-1,3.472143784E-2
2.106386792E0,1.195946485E-1,5.470849201E-2,1.185796596E-2
2.116381792E0,9.603393078E-2,-4.262258857E-2,-1.524342597E-2
2.126376792E0,4.806748405E-2,-1.036984250E-1,-2.434958331E-2
2.136371792E0,1.164679998E-4,-1.386766583E-1,-2.490352094E-2
2.146365792E0,-5.593242869E-2,-1.534577608E-1,-2.394636907E-2
2.156360792E0,-1.086920500E-1,-1.559342295E-1,-2.231811360E-2
2.166355792E0,-1.413290948E-1,-1.369414479E-1,-1.854732260E-2
2.176350792E0,-1.596316695E-1,-1.254621446E-1,-7.303722203E-3
2.186345792E0,-1.562728584E-1,-1.140231639E-1,8.817669004E-3
2.196340792E0,-1.387982666E-1,-8.811886609E-2,1.810251363E-2
2.206334792E0,-1.147193387E-1,-5.814998597E-2,3.085059673E-2
2.216329792E0,-8.988908678E-2,-2.713800780E-2,4.901948199E-2
2.226324792E0,-6.162121147E-2,5.218935665E-3,6.883470714E-2
2.236319792E0,-3.507642075E-2,4.612482339E-2,9.196746349E-2
2.246314792E0,-1.721089333E-2,7.893779874E-2,1.149495021E-1
2.256309792E0,-6.636091275E-4,1.110600457E-1,1.318224967E-1
2.266303792E0,4.637390841E-3,1.385155320E-1,1.391587406E-1
2.276298792E0,1.462103915E-3,1.517778039E-1,1.448749453E-1
2.286293792E0,-9.370960295E-3,1.585825831E-1,1.464089900E-1
2.296288792E0,-2.147769183E-2,1.588006914E-1,1.518892348E-1
2.306283792E0,-3.057756647E-2,1.589093208E-1,1.663341373E-1
2.316278792E0,-4.364516586E-2,1.504191756E-1,1.831554621E-1
2.326272792E0,-5.299471691E-2,1.314673424E-1,1.951596439E-1
2.336267792E0,-5.316196382E-2,1.015619114E-1,2.023232877E-1
2.346262792E0,-4.879949242E-2,7.133213431E-2,2.095573097E-1
2.356257792E0,-4.560582712E-2,3.852491453E-2,2.185100466E-1
2.366252792E0,-4.535538703E-2,1.425121911E-2,2.186273485E-1
2.376247792E0,-5.566528067E-2,-7.000273094E-3,2.119127214E-1
2.386242792E0,-6.936936826E-2,-2.743730322E-2,2.054366767E-1
2.396236792E0,-8.482528478E-2,-4.497634992E-2,1.947278380E-1
2.406231792E0,-9.384816885E-2,-5.715007335E-2,1.787966788E-1
2.416226792E0,-9.857261181E-2,-6.717527658E-2,1.581310928E-1
2.426221792E0,-1.008296534E-1,-6.966083497E-2,1.362247318E-1
2.436216792E0,-1.006136686E-1,-6.756839156E-2,1.160555556E-1
2.446211792E0,-9.288565814E-2,-5.663561076E-2,9.063879400E-2
2.456205792E0,-8.194725215E-2,-4.897103459E-2,6.102924049E-2
2.466200792E0,-6.729971617E-2,-4.275603592E-2,2.675240487E-2
2.476195792E0,-5.309920758E-2,-3.827447072E-2,2.148524392E-3
2.486190792E0,-4.241797328E-2,-3.865244985E-2,-1.465643290E-2
2.496185792E0,-2.871920355E-2,-5.135919154E-2,-3.819105402E-2
2.506180792E0,-1.534293778E-2,-6.373646855E-2,-5.914347991E-2
2.516174792E0,-5.977666005E-3,-7.862380147E-2,-7.607693225E-2
2.526169792E0,6.728712469E-3,-9.030275047E-2,-9.272393584E-2
2.536164792E0,1.956781372E-2,-1.004003882E-1,-1.045851186E-1
2.546159792E0,2.865779400E-2,-1.067407206E-1,-1.114516780E-1
2.556154792E0,3.653835505E-2,-1.056815833E-1,-1.160549521E-1
2.566149792E0,5.201690644E-2,-1.032067463E-1,-1.242745146E-1
2.576143792E0,6.368048489E-2,-9.024913609E-2,-1.238366887E-1
2.586138792E0,8.261394501E-2,-6.516569108E-2,-1.168520004E-1
2.596133792E0,1.069134250E-1,-1.772760227E-2,-1.065769866E-1
2.606128792E0,1.090989560E-1,4.336274415E-2,-8.242524415E-2
2.616123792E0,9.295274317E-2,9.827445447E-2,-6.003658101E-2
2.626118792E0,7.868231833E-2,1.457124650E-1,-2.967182361E-2
2.636112792E0,4.933748394E-2,1.768501401E-1,1.433931012E-2
2.646107792E0,2.459088899E-2,1.826333255E-1,5.756583437E-2
2.656102792E0,-1.173330704E-3,1.479954571E-1,8.536950499E-2
2.666097792E0,-1.931104064E-2,9.668333828E-2,1.060121730E-1
2.676092792E0,-2.275637165E-2,6.058339402E-2,1.369690150E-1
2.686087792E0,-1.628864184E-2,2.714463696E-2,1.769995689E-1
2.696081792E0,-1.584842056E-2,9.351363406E-4,2.225814313E-1
2.706076792E0,-2.630100213E-2,-9.740931913E-3,2.497200221E-1
2.716071792E0,-4.553461820E-2,-2.257843502E-2,2.514585257E-1
2.726066792E0,-6.651294231E-2,-4.138758779E-2,2.510719299E-1
2.736061792E0,-9.697284549E-2,-5.646800250E-2,2.579271793E-1
2.746056792E0,-1.138061062E-1,-6.253607571E-2,2.776353061E-1
2.756050792E0,-1.137499139E-1,-9.525567293E-2,2.660034299E-1
2.766045792E0,-1.137997657E-1,-1.101996750E-1,2.556816041E-1
2.776040792E0,-1.170663983E-1,-9.714272618E-2,2.549308538E-1
2.786035792E0,-1.182531044E-1,-9.170246124E-2,2.443357408E-1
