"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.346774840E-1,-4.276056774E-3,-1.099557430E-2,2.443460980E-3
2.366907940E-1,-3.054326167E-3,-1.404990070E-2,2.443460980E-3
2.386738730E-1,-5.497787148E-3,-1.404990070E-2,3.665191587E-3
2.406892590E-1,-5.497787148E-3,-1.221730467E-2,1.832595794E-3
2.426720300E-1,-4.276056774E-3,-1.343903504E-2,3.665191587E-3
2.446868030E-1,-3.054326167E-3,-1.404990070E-2,2.443460980E-3
2.466689590E-1,-1.221730490E-3,-1.649336144E-2,1.832595794E-3
2.486839610E-1,-1.221730490E-3,-1.832595654E-2,2.443460980E-3
2.506679630E-1,0.000000000E0,-1.893682219E-2,2.443460980E-3
2.526815030E-1,3.054326167E-3,-1.893682219E-2,1.221730490E-3
2.546661980E-1,3.054326167E-3,-1.893682219E-2,3.665191587E-3
2.566797390E-1,1.832595794E-3,-2.076941915E-2,4.886921961E-3
2.586932790E-1,3.665191587E-3,-2.138028294E-2,4.276056774E-3
2.606778200E-1,2.443460980E-3,-2.687807009E-2,5.497787148E-3
2.626910530E-1,2.443460980E-3,-2.382374369E-2,6.108652335E-3
2.646744390E-1,2.443460980E-3,-2.443460934E-2,6.108652335E-3
2.666898270E-1,3.054326167E-3,-2.260201424E-2,6.719517522E-3
2.686732130E-1,1.832595794E-3,-2.443460934E-2,7.330383174E-3
2.706868310E-1,1.221730490E-3,-2.565634064E-2,8.552113548E-3
2.726702170E-1,0.000000000E0,-2.443460934E-2,6.719517522E-3
2.746859120E-1,0.000000000E0,-2.443460934E-2,9.773843922E-3
2.766686830E-1,-1.221730490E-3,-2.138028294E-2,9.162978269E-3
2.786822240E-1,-6.108652451E-4,-2.015855350E-2,9.773843922E-3
2.806674570E-1,-1.832595794E-3,-1.832595654E-2,1.221730467E-2
2.826799980E-1,-3.054326167E-3,-1.649336144E-2,1.099557430E-2
2.846960000E-1,-1.832595794E-3,-1.588249579E-2,1.404990070E-2
2.866782320E-1,-4.886921961E-3,-1.527163107E-2,1.099557430E-2
2.886929280E-1,-4.276056774E-3,-1.282817032E-2,1.221730467E-2
2.906757760E-1,-5.497787148E-3,-7.941247895E-3,1.527163107E-2
2.926899320E-1,-5.497787148E-3,-9.773843922E-3,1.282817032E-2
2.946738570E-1,-6.108652335E-3,-3.054326167E-3,1.221730467E-2
2.966880900E-1,-7.330383174E-3,-6.108652451E-4,1.649336144E-2
2.986717070E-1,-6.108652335E-3,6.108652451E-4,1.282817032E-2
3.006861720E-1,-4.276056774E-3,5.497787148E-3,1.466076635E-2
3.026696350E-1,-4.886921961E-3,4.886921961E-3,1.588249579E-2
3.046831760E-1,-4.886921961E-3,8.552113548E-3,1.527163107E-2
3.066677160E-1,-4.276056774E-3,1.160643995E-2,1.160643995E-2
3.086821800E-1,-4.886921961E-3,1.160643995E-2,1.588249579E-2
3.106641060E-1,-4.276056774E-3,1.710422710E-2,1.404990070E-2
