"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.251577000E-1,-7.589619160E-1,-5.578489900E-1,9.806650162E0
2.271722440E-1,-7.517793179E-1,-5.410895944E-1,9.801861763E0
2.291854790E-1,-7.350199223E-1,-5.506663918E-1,9.797073364E0
2.311701000E-1,-7.350199223E-1,-5.626373887E-1,9.799467087E0
2.331835670E-1,-7.493851185E-1,-5.554547906E-1,9.801861763E0
2.351667260E-1,-7.493851185E-1,-5.602431893E-1,9.794678688E0
2.371808850E-1,-7.469909191E-1,-5.650315881E-1,9.794678688E0
2.391648900E-1,-7.374141216E-1,-5.650315881E-1,9.801861763E0
2.411786650E-1,-7.278373241E-1,-5.530605912E-1,9.797073364E0
2.431624390E-1,-7.254431248E-1,-5.506663918E-1,9.797073364E0
2.451772140E-1,-7.230489254E-1,-5.674257874E-1,9.789890289E0
2.471599110E-1,-7.350199223E-1,-5.722141862E-1,9.792284966E0
2.491744540E-1,-7.445967197E-1,-5.746083856E-1,9.799467087E0
2.511593830E-1,-7.374141216E-1,-5.698199868E-1,9.794678688E0
2.531728500E-1,-7.206547260E-1,-5.554547906E-1,9.780313492E0
2.551863940E-1,-7.134721279E-1,-5.602431893E-1,9.785101891E0
2.571700910E-1,-7.182605267E-1,-5.650315881E-1,9.797073364E0
2.591851740E-1,-7.278373241E-1,-5.746083856E-1,9.797073364E0
2.611680250E-1,-7.326257229E-1,-5.793967843E-1,9.787496567E0
2.631821070E-1,-7.278373241E-1,-5.698199868E-1,9.777919769E0
2.651664200E-1,-7.398083210E-1,-5.698199868E-1,9.773131371E0
2.671808870E-1,-7.374141216E-1,-5.458779931E-1,9.777919769E0
2.691637380E-1,-7.493851185E-1,-5.315127969E-1,9.777919769E0
2.711058200E-1,-7.445967197E-1,-5.363011956E-1,9.777919769E0
2.732501340E-1,-7.374141216E-1,-5.267243981E-1,9.775525093E0
