"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.973149151E0,2.229001760E0,9.464279175E0,3.603273630E0
9.975133840E0,2.207453966E0,9.478644371E0,3.600879431E0
9.977147605E0,2.214636564E0,9.514557838E0,3.600879431E0
9.979162448E0,2.233790159E0,9.521739960E0,3.605667830E0
9.981146445E0,2.221819162E0,9.528923035E0,3.605667830E0
9.983159594E0,2.217030764E0,9.550470352E0,3.605667830E0
9.985143361E0,2.217030764E0,9.552865028E0,3.615244627E0
9.987157741E0,2.214636564E0,9.552865028E0,3.612850428E0
9.989141507E0,2.205059767E0,9.567230225E0,3.617638826E0
9.991155888E0,2.200271368E0,9.572018623E0,3.617638826E0
9.993139654E0,2.166752577E0,9.562441826E0,3.615244627E0
9.995153497E0,2.171540976E0,9.528923035E0,3.643975019E0
9.997137185E0,2.171540976E0,9.509769440E0,3.665522814E0
9.999150643E0,2.147598982E0,9.490615845E0,3.684676409E0
1.000113556E1,2.123656988E0,9.459490776E0,3.684676409E0
1.000314910E1,2.118868589E0,9.445125580E0,3.689464808E0
1.000513194E1,2.111685991E0,9.418789864E0,3.708618402E0
1.000714694E1,2.097320795E0,9.385271072E0,3.725377798E0
1.000916116E1,2.094926596E0,9.361329079E0,3.727771997E0
1.001114447E1,2.070984364E0,9.311050415E0,3.727771997E0
1.001315839E1,2.061407566E0,9.272743225E0,3.734954596E0
1.001514231E1,2.054224968E0,9.241618156E0,3.746925592E0
1.001715592E1,2.023100376E0,9.191340446E0,3.754108191E0
1.001914053E1,2.006340981E0,9.167398453E0,3.756502390E0
1.002115468E1,1.984793186E0,9.141061783E0,3.761290789E0
1.002313829E1,1.970427990E0,9.105149269E0,3.775655985E0
1.002515183E1,1.958456993E0,9.088389397E0,3.790021181E0
1.002713529E1,1.910573006E0,9.059659004E0,3.792415380E0
1.002914967E1,1.874659896E0,9.052476883E0,3.794809580E0
1.003113343E1,1.848323703E0,9.045293808E0,3.797203779E0
1.003314728E1,1.795651317E0,9.040505409E0,3.809175014E0
1.003516173E1,1.745373011E0,9.014169693E0,3.830722809E0
1.003714542E1,1.735796213E0,8.999804497E0,3.837905407E0
1.003915957E1,1.719036818E0,8.985439301E0,3.849876404E0
1.004114411E1,1.697489023E0,8.951920509E0,3.852270603E0
1.004315795E1,1.668758631E0,8.947132111E0,3.854664803E0
1.004514172E1,1.623268723E0,8.942343712E0,3.859453201E0
1.004715548E1,1.613691926E0,8.937555313E0,3.869029999E0
1.004913825E1,1.589749932E0,8.930372238E0,3.881000996E0
1.005114970E1,1.546654344E0,8.918401718E0,3.881000996E0
1.005313609E1,1.539471745E0,8.908824921E0,3.876212597E0
1.005515085E1,1.517923832E0,8.904036522E0,3.859453201E0
1.005713493E1,1.479616642E0,8.889671326E0,3.857059002E0
1.005914869E1,1.472434044E0,8.875306129E0,3.849876404E0
1.006113276E1,1.460463047E0,8.848969460E0,3.852270603E0
1.006314630E1,1.419761658E0,8.820239067E0,3.842693806E0
1.006516076E1,1.419761658E0,8.815450668E0,3.842693806E0
1.006714375E1,1.395819545E0,8.810662270E0,3.833117008E0
1.006915798E1,1.379060149E0,8.781931877E0,3.825934410E0
1.007114228E1,1.362300754E0,8.777143478E0,3.830722809E0
1.007315551E1,1.343147159E0,8.746018410E0,3.818751812E0
1.007513982E1,1.331176162E0,8.743624687E0,3.809175014E0
1.007715397E1,1.304839969E0,8.741230011E0,3.801992416E0
1.007913758E1,1.295263171E0,8.724471092E0,3.782838583E0
1.008115265E1,1.280897856E0,8.712499619E0,3.778050184E0
1.008313603E1,1.254561663E0,8.717288017E0,3.770867586E0
1.008514995E1,1.244984865E0,8.719682693E0,3.778050184E0
1.008713272E1,1.244984865E0,8.724471092E0,3.773261786E0
1.008914687E1,1.259350061E0,8.729259491E0,3.751713991E0
1.009116040E1,1.237802267E0,8.722076416E0,3.744531393E0
1.009314525E1,1.223437071E0,8.714894295E0,3.746925592E0
1.009515916E1,1.209071875E0,8.702922821E0,3.739742994E0
1.009714247E1,1.223437071E0,8.707711220E0,3.732560396E0
1.009915724E1,1.233013868E0,8.707711220E0,3.737348795E0
1.010114131E1,1.240196466E0,8.707711220E0,3.746925592E0
