"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.589433320E-1,-2.871066630E-1,-4.459316283E-2,-4.721988440E-1
2.609264070E-1,-2.883284092E-1,-3.787364438E-2,-4.783074856E-1
2.629402520E-1,-2.864958048E-1,-3.665191308E-2,-4.752531648E-1
2.649240190E-1,-2.871066630E-1,-2.748893574E-2,-4.831944108E-1
2.669381710E-1,-2.846632004E-1,-2.321287990E-2,-4.868595898E-1
2.689220930E-1,-2.840523422E-1,-1.954768784E-2,-4.899139404E-1
2.709357070E-1,-2.840523422E-1,-1.649336144E-2,-4.917465150E-1
2.729190900E-1,-2.834414840E-1,-1.710422710E-2,-4.929682612E-1
2.749338570E-1,-2.834414840E-1,-1.099557430E-2,-4.935791194E-1
2.769169320E-1,-2.834414840E-1,-9.162978269E-3,-4.978551865E-1
2.789334700E-1,-2.828305960E-1,-8.552113548E-3,-4.984660447E-1
2.809159290E-1,-2.791654170E-1,-6.719517522E-3,-4.990769029E-1
2.829291580E-1,-2.809980214E-1,-3.665191587E-3,-5.009095073E-1
2.849440030E-1,-2.816088796E-1,-3.665191587E-3,-5.009095073E-1
2.869270780E-1,-2.822197378E-1,-7.941247895E-3,-5.027421117E-1
2.889408470E-1,-2.816088796E-1,-6.108652335E-3,-5.039638281E-1
2.909251520E-1,-2.834414840E-1,-7.330383174E-3,-5.064072609E-1
2.929390730E-1,-2.864958048E-1,-1.038470957E-2,-5.051855445E-1
2.949220720E-1,-2.871066630E-1,-1.160643995E-2,-5.064072609E-1
2.969372240E-1,-2.877175212E-1,-1.649336144E-2,-5.106833577E-1
2.989214540E-1,-2.907718420E-1,-2.076941915E-2,-5.106833577E-1
3.009353750E-1,-2.944370508E-1,-2.565634064E-2,-5.119050741E-1
3.029183730E-1,-2.968805134E-1,-2.626720630E-2,-5.119050741E-1
3.049325260E-1,-3.011565804E-1,-3.237585723E-2,-5.174028873E-1
3.069162160E-1,-3.011565804E-1,-3.481931984E-2,-5.149593949E-1
3.089301380E-1,-3.060434759E-1,-4.031710699E-2,-5.174028873E-1
3.109448290E-1,-3.139847219E-1,-4.703662544E-2,-5.192354321E-1
3.129276730E-1,-3.164281845E-1,-5.192354694E-2,-5.235115290E-1
3.149420560E-1,-3.213151097E-1,-5.925392732E-2,-5.253441334E-1
3.169252080E-1,-3.310889602E-1,-6.597344577E-2,-5.277875662E-1
3.189412060E-1,-3.335324228E-1,-7.147123665E-2,-5.271766782E-1
3.209229740E-1,-3.408628106E-1,-7.635815442E-2,-5.314527750E-1
3.229392800E-1,-3.494149148E-1,-8.246681094E-2,-5.338962078E-1
3.249214330E-1,-3.530801237E-1,-8.552113175E-2,-5.338962078E-1
3.269359690E-1,-3.597996235E-1,-9.285151958E-2,-5.393940210E-1
3.289192750E-1,-3.671300113E-1,-9.529497474E-2,-5.393940210E-1
3.309331200E-1,-3.738495409E-1,-9.590584040E-2,-5.430592299E-1
3.329168880E-1,-3.775147200E-1,-9.896016866E-2,-5.455026627E-1
3.349316560E-1,-3.848451078E-1,-1.026253626E-1,-5.485569835E-1
3.369149610E-1,-3.866777122E-1,-1.050688252E-1,-5.485569835E-1
3.389301130E-1,-3.903428912E-1,-1.069014147E-1,-5.503895879E-1
3.409439580E-1,-3.940080702E-1,-1.069014147E-1,-5.510004759E-1
3.429270330E-1,-3.970624208E-1,-1.056796908E-1,-5.503895879E-1
3.449411080E-1,-3.970624208E-1,-1.032362282E-1,-5.510004759E-1
3.469245690E-1,-3.982841372E-1,-1.007927656E-1,-5.503895879E-1
3.489393360E-1,-4.007275999E-1,-9.407325089E-2,-5.467243791E-1
3.509226430E-1,-4.013384581E-1,-8.674286306E-2,-5.412266254E-1
3.529368720E-1,-4.013384581E-1,-8.185594529E-2,-5.393940210E-1
3.549204850E-1,-4.025602043E-1,-7.452555746E-2,-5.338962078E-1
3.569340220E-1,-4.050036669E-1,-6.902777404E-2,-5.277875662E-1
3.589201740E-1,-4.043927789E-1,-6.536258012E-2,-5.235115290E-1
3.609327890E-1,-4.050036669E-1,-6.597344577E-2,-5.149593949E-1
3.629156330E-1,-4.062253833E-1,-6.475171447E-2,-5.088507533E-1
3.649307080E-1,-4.056145251E-1,-6.352998316E-2,-5.033529401E-1
