"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.331905042E0,1.743897349E-1,1.555604100E0,-2.335269302E-1
1.341899042E0,1.803964972E-1,1.699595451E0,-2.305865288E-1
1.351893042E0,1.794268489E-1,1.835509419E0,-2.255920321E-1
1.361886042E0,1.831395477E-1,1.980088830E0,-2.204087377E-1
1.371880042E0,1.939083189E-1,2.123985052E0,-2.165287733E-1
1.381874042E0,2.111775577E-1,2.257981539E0,-2.050858736E-1
1.391868042E0,2.288572043E-1,2.365417957E0,-1.901545823E-1
1.401861042E0,2.534738779E-1,2.452658892E0,-1.657591462E-1
1.411855042E0,2.753570974E-1,2.517629862E0,-1.381866485E-1
1.421849042E0,2.927048802E-1,2.563411236E0,-1.081248298E-1
1.431843042E0,3.069799542E-1,2.600917816E0,-8.772528172E-2
1.441837042E0,3.139241934E-1,2.630760670E0,-8.389027417E-2
1.451830042E0,3.155942559E-1,2.662167549E0,-8.603411913E-2
1.461824792E0,3.200039268E-1,2.701113701E0,-9.161594510E-2
1.471818792E0,3.396029174E-1,2.741627455E0,-8.955013007E-2
1.481812792E0,3.672294915E-1,2.763470888E0,-6.862165779E-2
1.491805792E0,3.988401294E-1,2.755220890E0,-3.037626669E-2
1.501799792E0,4.230011404E-1,2.716132164E0,1.078242436E-2
1.511793792E0,4.327648282E-1,2.647398233E0,3.866572306E-2
1.521787792E0,4.751327932E-1,2.609827757E0,4.175096005E-2
1.531781792E0,5.034616590E-1,2.580579281E0,2.762129158E-2
1.541774792E0,5.303204060E-1,2.547586441E0,1.135156490E-2
1.551768792E0,5.665615201E-1,2.514364243E0,3.617479000E-3
1.561762792E0,6.079875231E-1,2.476742268E0,1.554969233E-2
1.571756792E0,6.477714181E-1,2.436879158E0,3.161947057E-2
1.581750792E0,6.777381301E-1,2.389539242E0,4.989301786E-2
1.591743792E0,7.028315067E-1,2.340127945E0,5.898531526E-2
1.601737792E0,7.200317979E-1,2.285198212E0,5.464034528E-2
1.611731792E0,7.258076668E-1,2.219165087E0,4.184012860E-2
