"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.897038222E1,3.818751812E0,-7.474697590E0,5.758055210E0
1.897236653E1,3.857059002E0,-7.508216381E0,5.743690014E0
1.897438192E1,3.890577793E0,-7.529764175E0,5.746084213E0
1.897636400E1,3.962403774E0,-7.563282967E0,5.741295815E0
1.897837846E1,3.988739967E0,-7.596801758E0,5.731719017E0
1.898039362E1,4.043806553E0,-7.596801758E0,5.729324818E0
1.898237662E1,4.110844135E0,-7.599195957E0,5.743690014E0
1.898439078E1,4.141968727E0,-7.606379032E0,5.748478413E0
1.898637417E1,4.218583584E0,-7.623138428E0,5.750872612E0
1.898838840E1,4.326322556E0,-7.663839817E0,5.741295815E0
1.899037171E1,4.369418144E0,-7.671022415E0,5.748478413E0
1.899238595E1,4.436455727E0,-7.704541206E0,5.748478413E0
1.899437026E1,4.513070107E0,-7.750030994E0,5.738901615E0
1.899638403E1,4.546588898E0,-7.771578789E0,5.746084213E0
1.899836711E1,4.592078686E0,-7.807491779E0,5.731719017E0
1.900038073E1,4.635174274E0,-7.860164165E0,5.698200226E0
1.900236466E1,4.642356873E0,-7.891288757E0,5.674258232E0
1.900437950E1,4.666299343E0,-7.920019150E0,5.619191170E0
1.900636258E1,4.649539471E0,-7.951143742E0,5.564124584E0
1.900837736E1,4.639962673E0,-7.970297337E0,5.530605793E0
1.901039144E1,4.620809078E0,-8.008605003E0,5.461174011E0
1.901237544E1,4.594472885E0,-8.034940720E0,5.432443619E0
1.901438990E1,4.527435303E0,-8.042123795E0,5.360617638E0
1.901637298E1,4.479551315E0,-8.068459511E0,5.319916248E0
1.901838722E1,4.453215122E0,-8.063671112E0,5.295974255E0
1.902037145E1,4.395754337E0,-8.073247910E0,5.224148273E0
1.902238469E1,4.345476151E0,-8.061277390E0,5.121197224E0
1.902436784E1,4.314351559E0,-8.044517517E0,5.082890034E0
1.902638285E1,4.276044369E0,-7.984662533E0,5.008669853E0
1.902836631E1,4.249708176E0,-7.941566944E0,4.953603268E0
1.903038008E1,4.242525578E0,-7.903259754E0,4.927267075E0
1.903236439E1,4.185064793E0,-7.831433773E0,4.905719280E0
1.903437986E1,4.165910721E0,-7.738059998E0,4.920084476E0
1.903636225E1,4.175487995E0,-7.685387611E0,4.922478676E0
1.903837610E1,4.180276394E0,-7.565677166E0,4.888959885E0
1.904038664E1,4.225766182E0,-7.467514992E0,4.843470097E0
1.904237310E1,4.244919777E0,-7.426813602E0,4.824316502E0
1.904438718E1,4.290409565E0,-7.352593422E0,4.786009312E0
1.904637157E1,4.309563160E0,-7.323863029E0,4.757278919E0
1.904838565E1,4.347870350E0,-7.278373241E0,4.726154327E0
1.905036934E1,4.410119534E0,-7.268796444E0,4.718971729E0
1.905238350E1,4.443638325E0,-7.266402245E0,4.726154327E0
1.905436935E1,4.529829502E0,-7.285555840E0,4.723760128E0
1.905638136E1,4.613626480E0,-7.366958618E0,4.745307922E0
1.905836505E1,4.656722069E0,-7.417236805E0,4.742913723E0
1.906038021E1,4.730942726E0,-7.503427982E0,4.759673119E0
1.906236206E1,4.826710701E0,-7.620744228E0,4.795586109E0
1.906437744E1,4.872200489E0,-7.680599213E0,4.809951305E0
1.906639129E1,4.939238071E0,-7.802703381E0,4.855441093E0
1.906837491E1,5.008669853E0,-7.939172745E0,4.910507679E0
1.907038884E1,5.046977043E0,-8.006210327E0,4.924872875E0
1.907237215E1,5.114014626E0,-8.099584579E0,4.989516258E0
1.907438700E1,5.171475887E0,-8.180987358E0,5.023035049E0
1.907637031E1,5.209783077E0,-8.224082947E0,5.042188644E0
1.907838477E1,5.284003258E0,-8.310274124E0,5.082890034E0
1.908036793E1,5.315127850E0,-8.329427719E0,5.109226227E0
