"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.650735490E-1,-4.213795066E-1,-5.944802761E0,7.946355343E0
2.670880050E-1,-4.357447028E-1,-5.937620163E0,7.946355343E0
2.690704590E-1,-4.548983276E-1,-5.920860767E0,7.953537941E0
2.710852220E-1,-4.620809257E-1,-5.932831764E0,7.953537941E0
2.730701400E-1,-4.836287498E-1,-5.947196960E0,7.948749542E0
2.750837480E-1,-5.003881454E-1,-5.937620163E0,7.929595947E0
2.770670500E-1,-5.027823448E-1,-5.932831764E0,7.898471355E0
2.790806580E-1,-5.051765442E-1,-5.940014362E0,7.836222172E0
2.810652670E-1,-5.243301988E-1,-5.949591160E0,7.776367188E0
2.830793380E-1,-5.363011956E-1,-5.963956356E0,7.742848396E0
2.850937930E-1,-5.315127969E-1,-5.971138954E0,7.654263020E0
2.870771720E-1,-5.315127969E-1,-5.990292549E0,7.560888767E0
2.890917040E-1,-5.315127969E-1,-5.999869347E0,7.524975777E0
2.910753120E-1,-5.147533417E-1,-6.021417141E0,7.479485989E0
2.930897680E-1,-5.171475410E-1,-6.040570736E0,7.481880188E0
2.950723000E-1,-5.099649429E-1,-6.042964935E0,7.474697590E0
2.970864470E-1,-4.788403511E-1,-6.050147533E0,7.472303391E0
2.990701340E-1,-4.740519226E-1,-6.066906929E0,7.486668587E0
3.010848190E-1,-4.668693244E-1,-6.093243122E0,7.510610580E0
3.030678900E-1,-4.620809257E-1,-6.119579315E0,7.572859764E0
3.050824220E-1,-4.596867263E-1,-6.131550789E0,7.589619160E0
3.070654920E-1,-4.908113480E-1,-6.133944988E0,7.618350029E0
3.090796400E-1,-4.620809257E-1,-6.133944988E0,7.630321026E0
3.110956340E-1,-4.477157295E-1,-6.129156113E0,7.651868820E0
3.130787040E-1,-4.453215301E-1,-6.131550789E0,7.680599213E0
3.150916210E-1,-4.572925270E-1,-6.098031521E0,7.690176010E0
3.170758460E-1,-4.644751251E-1,-6.088454723E0,7.690176010E0
3.190894540E-1,-4.668693244E-1,-6.078877926E0,7.697358608E0
3.210734480E-1,-4.596867263E-1,-6.071695328E0,7.740454197E0
3.230872100E-1,-4.548983276E-1,-6.071695328E0,7.757213593E0
3.250706660E-1,-4.620809257E-1,-6.050147533E0,7.793126583E0
3.270853520E-1,-4.620809257E-1,-6.035782337E0,7.817068577E0
