feature_a,feature_b,abs_corr
gyr_z_iqr,gyr_z_fft_mag_1,0.9552584067635305
acc_y_spec_energy,acc_y_fft_mag_1,0.9551442168893283
lin_z_min,lin_z_rms,0.9551113997399496
gyr_mag_std,gyr_mag_range,0.955053881693893
gyr_mag_std,gyr_mag_p2p,0.955053881693893
gyr_x_mad,gyr_x_p2p,0.9549957966170548
gyr_x_range,gyr_x_mad,0.9549957966170548
lin_z_rms,lin_z_fft_mag_2,0.9547655365217853
acc_mag_iqr,acc_mag_fft_mag_1,0.9544846940766766
lin_y_iqr,lin_y_mad,0.9537721930470473
gyr_y_min,gyr_y_range,0.9536296131444489
gyr_y_min,gyr_y_p2p,0.9536296131444489
lin_z_range,lin_z_fft_mag_2,0.9533873848231328
lin_z_p2p,lin_z_fft_mag_2,0.9533873848231328
gyr_mag_iqr,gyr_mag_mad,0.9521716325070629
gyr_y_std,gyr_y_fft_mag_2,0.9521022824222493
lin_mag_max,lin_mag_rms,0.9519417635487358
lin_x_iqr,lin_x_fft_mag_1,0.9518561352293464
lin_mag_range,lin_mag_mad,0.9517326800427605
lin_mag_mad,lin_mag_p2p,0.9517326800427603
acc_mag_std,acc_mag_fft_mag_1,0.951369316141834
gyr_y_p2p,gyr_y_fft_mag_3,0.9513340393136173
gyr_y_range,gyr_y_fft_mag_3,0.9513340393136173
gyr_x_mad,gyr_x_spec_energy,0.9513028119506783
lin_y_sma,lin_y_fft_mag_1,0.9512259414790126
acc_z_fft_mag_2,acc_z_fft_mag_3,0.9508817608107315
gyr_mag_max,gyr_mag_rms,0.9503539236734118
